Account_number,PORTFOLIO,SSN,Phone No. ,Place Name,County,City,State,Zip,Region,Account Open Date,Loan_amount,Loan_status,Last_payment_date,Origination_fico_score,Current_fico_score,Current_outstanding
38673575,CREDIT CARD,640-29-9264,405-775-9884,Bromide,Johnston,Bromide,OK,74530,South,13-03-18,"$40,169",Non-Default,27-11-20,732,779,"$1,607"
38673576,PERSONAL LOAN,375-37-8517,212-786-7533,Reading Center,Schuyler,Reading Center,NY,14876,Northeast,23-06-19,"$187,055",Non-Default,24-08-21,877,877,"$1,871"
38673577,PERSONAL LOAN,073-02-5563,385-775-0225,Ibapah,Tooele,Ibapah,UT,84034,West,08-09-19,"$129,073",Non-Default,10-04-21,875,881,"$16,779"
38673578,MORTGAGE,106-98-7919,216-984-8974,Wickliffe,Lake,Wickliffe,OH,44092,Midwest,20-11-20,"$428,500",Non-Default,08-01-21,708,757,"$145,690"
38673579,CREDIT CARD,753-07-4655,217-307-8597,Forrest,Livingston,Forrest,IL,61741,Midwest,20-06-18,"$71,859",Non-Default,24-08-21,714,708,"$16,528"
38673580,MORTGAGE,770-02-0049,201-312-1614,Highland Lakes,Sussex,Highland Lakes,NJ,7422,Northeast,26-06-20,"$561,395",Non-Default,24-08-21,812,861,"$134,735"
38673581,CREDIT CARD,090-02-6498,339-289-4655,Newton,Middlesex,Newton,MA,2195,Northeast,07-06-20,"$31,419",Non-Default,02-12-20,703,732,"$1,885"
38673582,PERSONAL LOAN,390-33-0765,218-314-7370,Minneapolis,Anoka,Minneapolis,MN,55448,Midwest,24-08-21,"$154,338",Default,03-04-21,768,764,"$27,781"
38673583,CREDIT CARD,276-17-0083,209-252-3832,Pico Rivera,Los Angeles,Pico Rivera,CA,90662,West,19-04-21,"$27,526",Default,10-05-21,854,860,"$3,303"
38673584,MORTGAGE,677-22-7228,307-872-6444,Casper,Natrona,Casper,WY,82601,West,20-10-18,"$584,738",Non-Default,24-08-21,878,911,"$175,421"
38673585,MORTGAGE,149-23-6087,479-493-2345,Van Buren,Crawford,Van Buren,AR,72957,South,19-01-19,"$469,197",Default,10-11-20,702,722,"$145,451"
38673586,MORTGAGE,211-84-1802,319-658-2317,Moville,Woodbury,Moville,IA,51039,Midwest,24-08-21,"$619,386",Default,09-08-21,810,853,"$284,918"
38673587,CREDIT CARD,556-99-2038,339-922-2190,Pembroke,Plymouth,Pembroke,MA,2359,Northeast,05-02-18,"$97,890",Non-Default,24-08-21,803,812,"$25,451"
38673588,CREDIT CARD,387-33-8460,231-482-6750,Walloon Lake,Charlevoix,Walloon Lake,MI,49796,Midwest,24-08-21,"$27,941",Default,24-08-21,848,871,"$10,618"
38673589,CREDIT CARD,154-23-9959,314-613-6146,O Fallon,O Fallon,O Fallon,MO,63368,Midwest,14-09-18,"$42,361",Default,08-08-21,803,817,"$5,083"
38673590,PERSONAL LOAN,233-57-1697,219-545-4790,Milroy,Rush,Milroy,IN,46156,Midwest,01-04-21,"$89,913",Non-Default,24-08-21,655,674,"$18,882"
38673591,PERSONAL LOAN,668-48-6539,314-754-2773,Otterville,Cooper,Otterville,MO,65348,Midwest,21-02-18,"$187,829",Non-Default,21-01-21,886,929,"$67,618"
38673592,MORTGAGE,010-94-7929,239-885-9760,Pensacola,Escambia,Pensacola,FL,32534,South,25-09-19,"$948,080",Non-Default,09-04-21,786,789,"$189,616"
38673593,PERSONAL LOAN,454-99-5775,218-497-1411,Minneapolis,Hennepin,Minneapolis,MN,55468,Midwest,19-06-19,"$189,741",Non-Default,24-08-21,870,906,"$60,717"
38673594,MORTGAGE,607-87-9402,210-831-8268,Crockett,Houston,Crockett,TX,75835,South,16-04-21,"$882,338",Non-Default,24-08-21,739,733,"$344,112"
38673595,MORTGAGE,518-89-4139,208-508-7181,Ahsahka,Clearwater,Ahsahka,ID,83520,West,28-07-19,"$549,238",Default,24-08-21,789,813,"$203,218"
38673596,MORTGAGE,308-37-0601,210-249-5201,Bellaire,Harris,Bellaire,TX,77401,South,05-08-20,"$114,087",Non-Default,04-08-21,719,766,"$19,395"
38673597,PERSONAL LOAN,342-11-8228,218-518-5989,Frontenac,Goodhue,Frontenac,MN,55026,Midwest,25-10-18,"$187,333",Non-Default,02-01-21,840,885,"$76,807"
38673598,MORTGAGE,243-99-7149,212-896-8726,Norfolk,St. Lawrence,Norfolk,NY,13667,Northeast,05-04-19,"$549,435",Default,24-08-21,685,677,"$241,751"
38673599,CREDIT CARD,102-02-4922,479-771-9518,Russellville,Pope,Russellville,AR,72812,South,18-08-18,"$84,229",Non-Default,31-03-21,655,684,"$42,115"
38673600,CREDIT CARD,409-99-7222,308-566-5297,Snyder,Dodge,Snyder,NE,68664,Midwest,22-03-21,"$82,090",Non-Default,24-08-21,798,815,"$16,418"
38673601,CREDIT CARD,311-35-4041,503-976-0235,Frenchglen,Harney,Frenchglen,OR,97736,West,22-08-21,"$79,732",Non-Default,23-05-21,699,707,"$18,338"
38673602,MORTGAGE,570-99-5449,205-544-4643,Gardendale,Jefferson,Gardendale,AL,35071,South,12-11-20,"$662,650",Default,02-06-21,650,646,"$112,651"
38673603,MORTGAGE,236-55-3500,210-955-6384,Sabinal,Uvalde,Sabinal,TX,78881,South,24-08-21,"$958,562",Default,08-12-20,750,800,"$450,524"
38673604,PERSONAL LOAN,080-02-9321,201-354-4776,Whitehouse,Hunterdon,Whitehouse,NJ,8888,Northeast,07-01-19,"$41,884",Non-Default,13-11-20,855,897,$838
38673605,MORTGAGE,553-99-6968,423-994-6997,Andersonville,Anderson,Andersonville,TN,37705,South,17-04-21,"$711,566",Non-Default,05-04-21,776,769,"$348,667"
38673606,MORTGAGE,272-17-8097,217-607-6992,Equality,Gallatin,Equality,IL,62934,Midwest,05-02-20,"$979,671",Non-Default,24-07-21,688,723,"$313,495"
38673607,MORTGAGE,281-15-4021,210-395-6881,Duncanville,Dallas,Duncanville,TX,75116,South,27-10-18,"$529,660",Non-Default,26-12-20,675,706,"$116,525"
38673608,CREDIT CARD,491-29-4208,215-355-0865,Shamokin Dam,Snyder,Shamokin Dam,PA,17876,Northeast,17-10-19,"$80,873",Non-Default,21-11-20,869,898,"$4,852"
38673609,CREDIT CARD,189-86-2797,406-222-1629,Proctor,Lake,Proctor,MT,59929,West,24-12-20,"$70,168",Non-Default,09-08-21,854,896,"$24,559"
38673610,MORTGAGE,534-71-7168,270-939-9251,Shelbyville,Shelby,Shelbyville,KY,40065,South,09-11-18,"$993,224",Non-Default,21-04-21,750,796,"$288,035"
38673611,MORTGAGE,452-99-5159,262-453-2611,Poy Sippi,Waushara,Poy Sippi,WI,54967,Midwest,27-10-20,"$481,646",Non-Default,12-08-21,790,829,"$33,715"
38673612,CREDIT CARD,413-99-9973,219-237-3290,Riley,Vigo,Riley,IN,47871,Midwest,19-12-20,"$31,921",Default,24-08-21,697,717,"$14,364"
